ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
5029229,0.029414237168202212,"[(<tree.AND object at 0x7f275d375f60>, 'G'), (<tree.AND object at 0x7f275d376b00>, 'P'), (<tree.AND object at 0x7f275d384580>, 'J'), (<tree.AND object at 0x7f275d375a80>, 'O'), (<tree.AND object at 0x7f275d377340>, 'O'), (<tree.SEQ object at 0x7f275d3770a0>, 'O')]",20,1.3,0.5,20,212,0.1,0.07123148328085152,40.5,4.3,0.78,0,4.0,0,670959.0,0.0,25
9691038,0.005265352556086297,"[(<tree.AND object at 0x7f68d7b76020>, 'Y'), (<tree.SEQ object at 0x7f68d7b76560>, 'L'), (<tree.SEQ object at 0x7f68d7b76b00>, 'A'), (<tree.AND object at 0x7f68d7b84100>, 'A'), (<tree.AND object at 0x7f68d7b75660>, 'C'), (<tree.AND object at 0x7f68d7b749a0>, 'D')]",20,1.3,0.5,20,210,0.1,0.07123148328085152,37.84,3.9,1.08,0,3.5,0,11554655.0,0.0,25
5087840,0.07834866407031241,"[(<tree.SEQ object at 0x7f937dd99840>, 'F'), (<tree.SEQ object at 0x7f937ddacdc0>, 'W')]",20,1.3,0.5,20,263,0.1,0.07123148328085152,55.41,4.05,0.79,0,4.0,0,129029.0,0.0,25
2640797,0.0008419385732070195,"[(<tree.AND object at 0x7f2b67b94b20>, 'D'), (<tree.SEQ object at 0x7f2b67b7d6f0>, 'S'), (<tree.AND object at 0x7f2b67b7f940>, 'E'), (<tree.SEQ object at 0x7f2b67b96fe0>, 'M'), (<tree.AND object at 0x7f2b67b7f580>, 'E')]",20,1.3,0.5,20,253,0.1,0.07123148328085152,52.86,3.55,0.78,0,4.5,0,76066677.0,0.0,25
9553901,0.05572345903462439,"[(<tree.SEQ object at 0x7f94ed5949d0>, 'P'), (<tree.SEQ object at 0x7f94ed594d30>, 'F')]",20,1.3,0.5,20,241,0.1,0.07123148328085152,70.01,4.0,0.83,0,4.0,0,116576.0,0.0,25
2028021,0.002987227799876335,"[(<tree.AND object at 0x7f55b2782260>, 'S'), (<tree.AND object at 0x7f55b2782020>, 'S')]",20,1.3,0.5,20,272,0.1,0.07123148328085152,66.66,4.1,1.15,0,4.0,0,2892274.0,0.0,25
9355146,0.020622783962913047,"[(<tree.AND object at 0x7f22d417b6a0>, 'N'), (<tree.SEQ object at 0x7f22d418c1c0>, 'N'), (<tree.SEQ object at 0x7f22d4179240>, 'L'), (<tree.AND object at 0x7f22d417bee0>, 'N'), (<tree.SEQ object at 0x7f22d41659f0>, 'V'), (<tree.AND object at 0x7f22d41665c0>, 'L')]",20,1.3,0.5,20,205,0.1,0.07123148328085152,35.56,4.199999999999999,1.16,0,4.0,0,22860144.0,0.0,25
5159092,0.015338606738668452,"[(<tree.AND object at 0x7fd474bb6f50>, 'F')]",20,1.3,0.5,20,289,0.1,0.07123148328085152,52.08,3.9,1.04,0,4.5,0,185654.0,0.0,25
9173562,0.7159939068301163,"[(<tree.SEQ object at 0x7f35a3f3b340>, 'G'), (<tree.AND object at 0x7f35a3f267a0>, 'B'), (<tree.SEQ object at 0x7f35a3f390c0>, 'M'), (<tree.AND object at 0x7f35a3f391e0>, 'M'), (<tree.AND object at 0x7f35a3f27b20>, 'C')]",20,1.3,0.5,20,189,0.1,0.07123148328085152,21.47,3.25,0.65,0,3.5,0,211322.0,0.0,25
2977457,0.5751557282688144,[],20,1.3,0.5,20,283,0.1,0.07123148328085152,90.52,4.1,0.56,0,4.0,0,11629.0,0.0,25
