ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
3075960,0.8874231794401259,[],50,1.3,0.5,10,72,0.1,0.06867195181250942,1.02,3.72,0.16,0,4.0,0,478446.5412735106,0.0,15
3241279,0.3635439360929561,[],15,1.3,0.5,10,20,0.1,0.08383754055651775,0.05,1.8666666666666667,0.03,0,2.5,0,155769.23076923063,0.0,15
5976698,1.1523764940450515e-05,[],15,1.3,0.5,10,161,0.1,0.08302343288175096,4.6,2.1333333333333333,0.07,0,4.5,0,30000.516951833753,0.0,15
1285446,1.0000000000000009,"[(<tree.AND object at 0x7f86789c4f70>, 'D'), (<tree.AND object at 0x7f86789c1f70>, 'D')]",15,1.3,0.5,10,53,0.1,0.0697057812481815,1.08,4.266666666666667,0.05,0,3.5,0,208180.75801749248,0.0,15
3415507,1.0000000000000009,"[(<tree.AND object at 0x7fedfb9c2970>, 'G')]",50,1.3,0.5,10,90,0.1,0.07463157054665827,1.48,6.5,0.15,0,3.5,0,351451.07618238416,0.0,15
133925,0.9999999999999988,[],50,1.3,0.5,10,133,0.1,0.07151228052695319,5.44,6.1,0.16,0,3.5,0,281718.96420411306,0.0,15
232042,1.0000000000000009,"[(<tree.SEQ object at 0x7f160a3c6850>, 'A')]",50,1.3,0.5,10,77,0.1,0.07250978091297013,0.76,5.5,0.13,0,3.0,0,483334.2208967939,0.0,15
5223156,0.9999999999999993,[],50,1.3,0.5,10,10,0.1,0.07553755843017576,0.02,5.18,0.07,0,0.5,0,380931.2638580934,0.0,15
9788277,0.9999999999999988,[],30,1.3,0.5,10,55,0.1,0.07498372879424679,0.12,4.233333333333333,0.06,0,2.0,0,239243.0440982441,0.0,15
1763298,1.0000000000000007,"[(<tree.SEQ object at 0x7ff913fa1130>, 'B')]",12,1.3,0.5,10,71,0.1,0.07082047115790276,0.78,3.5,0.03,0,4.0,0,85719.70655198579,0.0,15
